NAME,GENDER,AGE,DATE OF OPENING,TYPE OF ACCOUNT,ACCOUNT NUMBER,PASSWORD,BALANCE
SAHIL,M,23,23-11-2014,SAVINGS,1203764585,4321,60000
SETHUPATHY,M,24,24-11-2014,CURRENT,1203764584,1234,200000
SHANE,M,22,22-06-2013,SAVINGS,1203764583,7745,700000
HARDIK ,M,21,19-05-2015,CURRENT,1203764582,6453,200000
PRAJUVAL,M,34,18-03-2019,SAVINGS,1201764581,2341,400000
GAURAV ,M,31,19-11-2015,SAVINGS,1203764580,5678,50000
LAKSHMI,F,25,01-11-2001,SAVINGS,1203764579,4325,60000
SNIGDHA ,F,62,23-18-2017,CURRENT,1203764578,5643,60000
ABHISHEKH ,M,45,29-12-2012,CURRENT,1203764577,7896,30000
MAHENDRA,M,33,27-02-2007,SAVINGS,1203764576,2367,45000
GITIKA,F,44,31-07-2019,CURRENT,1203764575,2786,35000
NANDHANA,F,21,12-05-2013,CURRENT,1203764574,6598,20000
ARMILI,F,24,19-06-2006,SAVINGS,1203764573,3876,40000
YASHAS,M,49,27-11-2005,SAVINGS,1203764572,9085,45000
VIJAY,M,53,25-04-2009,CURRENT,1203764571,2987,50000
KEDAR ,M,32,28-10-2010,SAVINGS,1203764570,4519,56000
ANKUR ,M,19,22-01-2016,CURRENT,1203764569,4765,32000
SIDDHANTH,M,72,09-04-2005,SAVINGS,1203764568,6809,21345
DHRUVA ,M,34,03-09-2002,SAVINGS,1203764567,1010,30000
DIWAKAR,M,108,07-02-2012,CURRENT,1203764566,3246,100000
ANUSHREE ,F,18,21-03-2006,CURRENT,1203764565,6410,30000
AMRUTA,F,36,12-12-1999,CURRENT,1203764564,3287,40000
RUCHITA,F,26,26-06-2020,SAVINGS,1203764563,8097,45000
SAMEER,M,92,01-07-2012,SAVINGS,1203774563,9870,35000
